restaurant_name,restaurant_type,rating,num_ratings,cost_for_two,online_order,table_booking,cuisines,area,address,cost_per_person,rating_category
Asia Kitchen By Mainland China,"Casual Dining, Bar",4.9,2178,1500.0,1,1,"Asian, Chinese, Thai, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,750.0,Excellent
ASIA SEVEN,Food Court,3.3,4,300.0,1,0,Chinese,Whitefield,Whitefield,150.0,Good
Assi Tussi Lassi,Beverage Shop,3.6,25,200.0,1,0,"Beverages, Fast Food, Ice Cream",Indiranagar,Ejipura,100.0,Good
At North Parontha Hut,Quick Bites,2.8,40,200.0,0,0,North Indian,Brookefield,Whitefield,100.0,Poor
Athithi,Casual Dining,2.8,80,650.0,0,0,"Andhra, Biryani, Chinese, North Indian",Bannerghatta Road,Bannerghatta Road,325.0,Poor
Athithi Grand Restaurant,Casual Dining,3.0,74,700.0,1,0,"Andhra, North Indian, Chinese",JP Nagar,Kanakapura Road,350.0,Good
Atithi,Casual Dining,3.7,18,750.0,0,0,North Indian,Malleshwaram,Rajajinagar,375.0,Good
Atithi Aharadhama,Quick Bites,3.2,4,200.0,0,0,South Indian,Sarjapur Road,Sarjapur Road,100.0,Good
Atithi Aramane Veg,Quick Bites,3.9,48,300.0,1,0,"South Indian, North Indian, Chinese",Bellandur,Bellandur,150.0,Good
Atithi Biryani Corner,Quick Bites,3.3,4,200.0,1,0,"Biryani, South Indian",Bannerghatta Road,JP Nagar,100.0,Good
Atithi Family Bar & Restaurant,"Casual Dining, Bar",3.6,31,500.0,1,0,"North Indian, South Indian, Andhra",Bellandur,Bellandur,250.0,Good
Atithi Grand Veg Hotel,Quick Bites,2.8,40,300.0,0,0,South Indian,Bellandur,Sarjapur Road,150.0,Poor
Atithi Point Ande Ka Funda,Quick Bites,3.1,29,150.0,0,0,North Indian,Banashankari,Banashankari,75.0,Good
Atithi Sambrama,Quick Bites,3.9,69,200.0,1,0,"South Indian, North Indian, Chinese",Bellandur,Sarjapur Road,100.0,Good
Atithi Satkaar,Quick Bites,3.2,8,150.0,0,0,South Indian,Lavelle Road,Majestic,75.0,Good
Atithi Satkar,Casual Dining,3.7,91,400.0,0,0,"South Indian, North Indian, Fast Food, Chinese",New BEL Road,Sanjay Nagar,200.0,Good
Atomic Lab,"Casual Dining, Bar",3.5,53,1800.0,0,0,"Asian, North Indian, Continental",Brigade Road,Lavelle Road,900.0,Good
Atta Galata,Quick Bites,4.1,208,200.0,0,0,"Bakery, Fast Food","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,100.0,Excellent
Atte Maneya Oota,Quick Bites,2.8,40,400.0,0,0,South Indian,Lavelle Road,Majestic,200.0,Poor
Attic Lounge,Cafe,4.0,1229,700.0,1,1,Cafe,"Byresandra,Tavarekere,Madiwala",Koramangala 4th Block,350.0,Excellent
Atty's Bakery,Bakery,4.0,73,250.0,1,0,Bakery,Brigade Road,Frazer Town,125.0,Excellent
Aubree,"Cafe, Bakery",3.2,5,400.0,1,0,"Cafe, Bakery",Residency Road,Shivajinagar,200.0,Good
Aubree Le Chocolatier,Dessert Parlor,2.8,40,300.0,1,0,Desserts,"Byresandra,Tavarekere,Madiwala",Koramangala 6th Block,150.0,Poor
Auntie Anne's,Dessert Parlor,4.0,24,500.0,0,0,Desserts,Whitefield,Whitefield,250.0,Excellent
Auntie Fung's,Casual Dining,4.2,577,600.0,1,0,"Asian, Chinese",Malleshwaram,New BEL Road,300.0,Excellent
