restaurant_name,restaurant_type,rating,num_ratings,cost_for_two,online_order,table_booking,cuisines,area,address,cost_per_person,rating_category
#FeelTheROLL,Quick Bites,3.4,7,200.0,0,0,Fast Food,Bellandur,Bellandur,100.0,Good
#L-81 Cafe,Quick Bites,3.9,48,400.0,1,0,"Fast Food, Beverages","Byresandra,Tavarekere,Madiwala",HSR,200.0,Good
#refuel,Cafe,3.7,37,400.0,1,0,"Cafe, Beverages",Bannerghatta Road,Bannerghatta Road,200.0,Good
'@ Biryani Central,Casual Dining,2.7,135,550.0,1,0,"Biryani, Mughlai, Chinese",Marathahalli,Marathahalli,275.0,Poor
'@ The Bbq,Casual Dining,2.8,40,700.0,1,0,"BBQ, Continental, North Indian, Chinese, Beverages",Bellandur,Bellandur,350.0,Poor
'@99,"Takeaway, Delivery",3.4,37,200.0,0,0,"Mughlai, Biryani, Chinese, North Indian",Whitefield,Whitefield,100.0,Good
'@Italy,Casual Dining,4.1,305,700.0,1,0,Italian,Banashankari,Kumaraswamy Layout,350.0,Excellent
'@North Parontha Hut,"Takeaway, Delivery",2.8,40,300.0,0,0,North Indian,Indiranagar,Old Airport Road,150.0,Poor
1000 B.C,Quick Bites,3.2,49,300.0,1,0,"Arabian, Sandwich, Rolls, Burger","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,150.0,Good
100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,Casual Dining,3.7,41,450.0,0,0,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala",BTM,225.0,Good
11 to 11 Express Biriyanis,Quick Bites,3.5,22,300.0,1,0,"Biryani, Kebab",Electronic City,Electronic City,150.0,Good
1131 Bar + Kitchen,"Bar, Casual Dining",4.4,2861,1500.0,0,1,"Continental, Asian, Italian, North Indian",Old Airport Road,Indiranagar,750.0,Excellent
12th Main - Grand Mercure,Fine Dining,4.1,353,2000.0,0,1,"European, Asian","Byresandra,Tavarekere,Madiwala",Koramangala 3rd Block,1000.0,Excellent
1441 Pizzeria,Casual Dining,4.1,119,800.0,1,0,"Pizza, Salad",Basavanagudi,JP Nagar,400.0,Excellent
1522 - The Pub,Pub,4.2,1731,1400.0,1,0,"Chinese, Continental, North Indian",Malleshwaram,Malleshwaram,700.0,Excellent
154 Breakfast Club,Cafe,4.0,1509,900.0,1,1,"Cafe, Continental","Byresandra,Tavarekere,Madiwala",Koramangala 3rd Block,450.0,Excellent
1722 Urban Bistro,Casual Dining,4.1,218,600.0,1,1,"North Indian, Chinese, Fast Food, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,300.0,Excellent
18+ Ice Cafe,Cafe,3.5,24,550.0,0,0,"Cafe, Fast Food, Chinese, Beverages",Kalyan Nagar,Kammanahalli,275.0,Good
1947,Casual Dining,3.9,620,1000.0,0,1,"North Indian, Chinese, Continental",Rajajinagar,Rajajinagar,500.0,Good
1980s Games Cafe,Cafe,3.4,58,400.0,1,0,"Cafe, Fast Food",Banashankari,Basavanagudi,200.0,Good
1992 Chats - Space,Quick Bites,3.7,33,200.0,1,0,Street Food,Malleshwaram,Rajajinagar,100.0,Good
1Q1,"Casual Dining, Bar",4.3,595,2500.0,0,1,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",Brigade Road,Infantry Road,1250.0,Excellent
1TO3 Kitchen,Delivery,3.1,11,800.0,0,0,"North Indian, Chinese, Continental, Italian, South Indian",Marathahalli,Marathahalli,400.0,Good
2 Statez,Casual Dining,3.7,209,600.0,1,0,"Kerala, Seafood, South Indian, North Indian, Chinese",Kalyan Nagar,Kalyan Nagar,300.0,Good
20 Char - Sterlings MAC Hotel,"Casual Dining, Bar",4.0,419,1400.0,1,1,"Chinese, Continental, North Indian, South Indian, Arabian",Indiranagar,Old Airport Road,700.0,Excellent
20 Feet High,"Casual Dining, Bar",4.0,932,1000.0,1,1,"American, Continental, Steak, Salad",Brigade Road,Church Street,500.0,Excellent
21 C - La Marvella Sarovar Premiere Hotel,Casual Dining,3.6,15,1000.0,0,0,Continental,Basavanagudi,Jayanagar,500.0,Good
24 Carats - The Capitol,Casual Dining,3.1,46,1000.0,0,0,"Asian, Continental",Brigade Road,Cunningham Road,500.0,Good
24 Hours Cake Delivery,Delivery,3.3,4,700.0,0,0,Bakery,Indiranagar,Old Airport Road,350.0,Good
24 Hours Coffee Drop - La Classic,Cafe,3.4,9,800.0,0,0,Cafe,Electronic City,Electronic City,400.0,Good
24/7 - The Lalit Ashok Bangalore,Fine Dining,4.0,344,3000.0,0,1,"Continental, North Indian, Italian, Chinese",Malleshwaram,Seshadripuram,1500.0,Excellent
24/7 Food Service,"Takeaway, Delivery",2.9,7,300.0,1,0,"South Indian, North Indian, Fast Food","Byresandra,Tavarekere,Madiwala",JP Nagar,150.0,Poor
24@43 - The Oterra,Fine Dining,4.1,268,3000.0,0,1,"North Indian, Asian, Continental",Electronic City,Electronic City,1500.0,Excellent
24th Main,Casual Dining,4.1,1234,800.0,0,1,"North Indian, South Indian, Chinese",Bannerghatta Road,JP Nagar,400.0,Excellent
29 Degrees North,Quick Bites,3.9,283,250.0,1,0,"North Indian, Fast Food, Street Food",Kalyan Nagar,Banaswadi,125.0,Good
2nd Home Restaurant,Quick Bites,3.7,21,500.0,1,0,"South Indian, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",BTM,250.0,Good
3 Leafs,Casual Dining,3.7,128,600.0,1,0,"North Indian, South Indian, Chinese",Marathahalli,Kaggadasapura,300.0,Good
3 Spice,Casual Dining,3.9,156,450.0,1,0,"North Indian, Chinese",Koramangala 7th Block,Wilson Garden,225.0,Good
30 Square,Quick Bites,4.2,556,400.0,1,0,"Tibetan, Nepalese, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,200.0,Excellent
360 Atoms Restaurant And Cafe,Cafe,3.1,13,400.0,1,0,"Cafe, Chinese, Continental, Italian",Banashankari,Banashankari,200.0,Good
36th Cross Coffee Mane,Casual Dining,3.7,29,500.0,0,0,"North Indian, Chinese",JP Nagar,BTM,250.0,Good
37 China Town,Casual Dining,3.5,58,900.0,0,0,"Chinese, Thai, North Indian, South Indian, Continental",Lavelle Road,Race Course Road,450.0,Good
"3B's - Buddies, Bar & Barbecues","Casual Dining, Bar",4.4,1149,1100.0,0,1,"North Indian, Mediterranean, European, BBQ","Byresandra,Tavarekere,Madiwala",BTM,550.0,Excellent
3G's - Gulp & Groove,"Bar, Casual Dining",4.1,662,1100.0,1,1,"Finger Food, Continental, Chinese",Malleshwaram,Malleshwaram,550.0,Excellent
3rd Innings,"Casual Dining, Bar",3.0,17,1000.0,0,0,"Burger, Italian, North Indian, Chinese",Electronic City,Electronic City,500.0,Good
4 Mangoes,Kiosk,3.7,14,200.0,0,0,Ice Cream,Indiranagar,Old Airport Road,100.0,Good
4 Seasons Restaurant,Casual Dining,3.7,399,1000.0,1,1,"North Indian, Seafood, Middle Eastern, Chinese",Kalyan Nagar,Kalyan Nagar,500.0,Good
4 States,Food Court,3.2,4,400.0,0,0,South Indian,Sarjapur Road,Bellandur,200.0,Good
46 Ounces Brewgarden,Microbrewery,2.8,40,1600.0,0,1,"Bar Food, Finger Food, Pizza",Electronic City,Electronic City,800.0,Poor
4700BC Popcorn,"Takeaway, Delivery",4.1,55,500.0,0,0,Fast Food,Whitefield,Whitefield,250.0,Excellent
4Foodiez,Quick Bites,3.6,82,300.0,1,0,"South Indian, North Indian, Chinese",Electronic City,Electronic City,150.0,Good
4Foodiez - The Restaurant,Quick Bites,3.0,23,400.0,0,0,"Street Food, Chinese, North Indian, South Indian",Electronic City,Electronic City,200.0,Good
4K Biryani,Delivery,3.3,4,700.0,1,0,"North Indian, Chinese",HSR,HSR,350.0,Good
4th Tea Block,Cafe,4.0,62,150.0,0,0,Cafe,Basavanagudi,Jayanagar,75.0,Excellent
5 Star Food,Quick Bites,2.8,40,300.0,1,0,"South Indian, Fast Food",Frazer Town,Kammanahalli,150.0,Poor
50-50 EATING HOUSE,Quick Bites,3.2,4,100.0,0,0,"South Indian, Biryani",Banashankari,Basavanagudi,50.0,Good
